id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Oda;Medhurst;Misty94@yahoo.com;um dreamer hector;2023-09-20T06:21:24;14837;25923
2;Alyson;Sanford;Godfrey_Rice@gmail.com;ounce;2023-09-19T21:52:31;22884;11440
3;Gisselle;Emard;Justice.Pfannerstill@hotmail.com;into gradient;2023-09-20T10:22:07;17871;21320
4;Heidi;VonRueden;Antonetta_Bradtke@gmail.com;badly;2023-09-19T15:04:30;15516;27325
5;Jeromy;Orn;Thalia_Jaskolski46@hotmail.com;triumphantly;2023-09-20T07:47:22;6917;26738
6;Joany;Lakin;Aleen89@gmail.com;unlike;2023-09-20T01:43:22;24996;26054
7;Eleanore;Cummings;Jackson94@hotmail.com;remortgage debut;2023-09-20T09:48:05;480;7990
8;Mason;Barrows;Talia.Gleason38@hotmail.com;and acquire;2023-09-20T07:24:23;25891;22733
9;Nickolas;Schuster;Earnest78@hotmail.com;considering canst;2023-09-20T12:30:17;13024;20205
10;Braden;Keebler;Lonny.Anderson@yahoo.com;whose;2023-09-20T00:13:29;13479;13155
